style,overall_rate,name,url,brewery,style_rate
Golden Ale/Blond Ale,42,Lavender Hill,https://www.ratebeer.com/beer/sambrooks-lavender-hill/178739/,SAMBROOKS,67
Bitter,32,TBA,https://www.ratebeer.com/beer/sherfield-village-tba/402249/,SHERFIELD VILLAGE,46
Bitter,,Best of Both Worlds,https://www.ratebeer.com/beer/sherfield-village-best-of-both-worlds/409695/,SHERFIELD VILLAGE,
Stout,,Pioneer Stout,https://www.ratebeer.com/beer/sherfield-village-pioneer-stout/152226/,SHERFIELD VILLAGE,
Bitter,44,Ginger Tosser,https://www.ratebeer.com/beer/skinners-ginger-tosser/90181/,SKINNERS,84
Golden Ale/Blond Ale,,Citrus,https://www.ratebeer.com/beer/slaters-citrus/217794/,SLATERS,
Golden Ale/Blond Ale,,Flying Fox Apricot Pale Ale,https://www.ratebeer.com/beer/slightly-foxed-flying-fox/221014/,SLIGHTLY FOXED,
Sweet Stout,54,Raven,https://www.ratebeer.com/beer/sonnet-43-the-raven-bourbon-milk-stout/207398/,SONNET 43,35
Golden Ale/Blond Ale,37,Bankside Blonde,https://www.ratebeer.com/beer/southwark-bankside-blonde/325020/3/1/,SOUTHWARK,49
Golden Ale/Blond Ale,38,LPA,https://www.ratebeer.com/beer/southwark-london-pale-ale-lpa/292506/,SOUTHWARK,56
American Pale Ale,34,Harvard American Pale Ale,https://www.ratebeer.com/beer/southwark-harvard/306373/,SOUTHWARK,21
Premium Bitter/ESB,65,Great Bustard,https://www.ratebeer.com/beer/stonehenge-great-bustard/30303/,STONEHENGE,91
Stout,,Ebony Oatmeal Stout,https://www.ratebeer.com/beer/strathaven-ebony/464880/,STRATHAVEN,
unknown,0,Blue Moon,,STRATHAVEN,0
Bitter,45,Cherry Dark,https://www.ratebeer.com/beer/strathaven-festival-ale/219275/1/2/,STRATHAVEN,79
unknown,0,Grandstand,,STRATHAVEN,0
Stout,90,Cappuccino Stout,https://www.ratebeer.com/beer/titanic-cappuccino-stout/161193/,STRATHAVEN,91
,,Raspberry Wheat (Hazy),http://www.ratebeer.com/places/customshelftagprint.asp?placeid=22282,STRATHAVEN,
unknown,0,Captain Smith,,STRATHAVEN,0
Bitter,48,Brock Bitter,https://www.ratebeer.com/beer/tring-brock-bitter/55925/,TRING,90
Golden Ale/Blond Ale,79,Pale + Four,https://www.ratebeer.com/beer/tring-pale-four/356083/,TRING,98
unknown,0,Redhead,,TRING,0
Premium Bitter/ESB,80,Raj IPA,https://www.ratebeer.com/beer/tryst-raj-india-pale-ale/101646/,TRYST,97
Golden Ale/Blond Ale,49,Sundancer,https://www.ratebeer.com/beer/twickenham-sundancer/5786/,TWICKENHAM,88
Golden Ale/Blond Ale,60,Naked Ladies,https://www.ratebeer.com/beer/twickenham-naked-ladies/70004/,TWICKENHAM,94
Golden Ale/Blond Ale,55,Summer Sun,https://www.ratebeer.com/beer/twickenham-summer-sun/149728/,TWICKENHAM,91
,,Gothick Dark,https://www.ratebeer.com/brewers/twickenham-fine-ales/5512/,TWICKENHAM,
Golden Ale/Blond Ale,,London Gold,https://www.ratebeer.com/beer/twickenham-london-gold/149244/,TWICKENHAM,
English Strong Ale,59,Daisy Cutter,https://www.ratebeer.com/beer/twickenham-daisy-cutter/59262/,TWICKENHAM,70
Golden Ale/Blond Ale,19,Tipster,https://www.ratebeer.com/beer/upham-tipster/254014/,UPHAM,21
unknown,0,Brill Gold,,UPHAM,0
unknown,0,Vale Best,,UPHAM,0
Session IPA,91,A Bigger Boat,https://www.ratebeer.com/beer/northern-monk-eternal-session-ipa/308597/,IPA resulting in a thirst quenching beer with a,95
,,Gravitas 4.8%,https://www.ratebeer.com/forums/could-someone-do-me-a-favour-please_104256.htm,IPA resulting in a thirst quenching beer with a,
Session IPA,,The Village Gossip,https://www.ratebeer.com/beer/vip-village-gossip/334537/,VIP,
Bitter,,Alnwick Amber Ale,https://www.ratebeer.com/beer/vip-alnwick-amber-ale/532230/,VIP,
Bitter,16,The Village Bike,https://www.ratebeer.com/beer/vip-the-village-bike/266351/,VIP,10
Bitter,16,The Village Lite,https://www.ratebeer.com/beer/vip-the-village-bike/266351/,VIP,10
Golden Ale/Blond Ale,,Alnwick Gold,https://www.ratebeer.com/beer/alnwick-gold/292577/,VIP,
Bitter,,Alnwick IPA,https://www.ratebeer.com/beer/vip-alnwick-amber-ale/532230/,VIP,
Stout,,The Village Ghost,https://www.ratebeer.com/beer/vip-the-village-ghost/266404/,VIP,
,,The Village Life,https://www.ratebeer.com/brewers/vip-brewery/19696/,VIP,
Porter,55,Black Pig,https://www.ratebeer.com/beer/wantsum-black-pig/116646/,WANTSUM,42
Session IPA,85,Little Things That Kill,https://www.ratebeer.com/beer/weird-beard-little-things-that-kill-batch-1/218836/,WEIRD BEARD,82
Stout,96,Decadence Stout,https://www.ratebeer.com/beer/weird-beard-decadence/208708/,WEIRD BEARD,98
India Pale Ale (IPA),81,Hit the Lights,https://www.ratebeer.com/beer/weird-beard-hit-the-lights/208710/,WEIRD BEARD,64
Smoked,89,Peat Rock,https://www.ratebeer.com/beer/weird-beard-peat-rock/506025/,WEIRD BEARD,89
Imperial IPA,96,Sorachi Faceplant,https://www.ratebeer.com/beer/weird-beard-sorachi-face-plant/302320/,WEIRD BEARD,86
Imperial Stout,81,Follow the Worms,https://www.ratebeer.com/beer/weird-beard-follow-the-worms/507722/,WEIRD BEARD,24
unknown,0,Henrietta,,WEIRD BEARD,0
unknown,0,Red Feather,,WEIRD BEARD,0
unknown,0,Harley,,WEIRD BEARD,0
unknown,0,Portland Black,,WEIRD BEARD,0
Bitter,15,Eagle IPA,https://www.ratebeer.com/beer/wells-eagle-ipa-cask/4466/,WELLS,9
Bitter,37,Young’s Bitter,https://www.ratebeer.com/beer/youngs-bitter-cask/44387/,WELLS,56
Golden Ale/Blond Ale,27,Young’s London Gold,https://www.ratebeer.com/beer/youngs-london-gold--kew-gold-cask/106744/,WELLS,36
Premium Bitter/ESB,54,Bombardier,https://www.ratebeer.com/beer/wells-bombardier-glorious-english-bottle/4463/,WELLS,85
English Strong Ale,89,Young’s Special,https://www.ratebeer.com/beer/youngs-special-london-ale/140/,WELLS,96
Session IPA,,Serendipity,https://www.ratebeer.com/beer/wild-weather-serendipity/416385/,WILD WEATHER,
American Pale Ale,,Betrayal,https://www.ratebeer.com/beer/wild-weather-betrayal-mosaic/469479/,WILD WEATHER,
Amber Ale,,Back To The Winchester,https://www.ratebeer.com/beer/wild-weather-back-to-the-winchester/531393/,WILD WEATHER,
unknown,0,Be Hop A Lula,,WILD WEATHER,0
Bitter,49,Parklife,https://www.ratebeer.com/beer/windsor-eton-parklife/218291/,WINDSOR & ETON,93
Golden Ale/Blond Ale,49,Knight of the Garter,https://www.ratebeer.com/beer/windsor-eton-knight-of-the-garter/127123/,WINDSOR & ETON,87
Bitter,48,Corker Summer Bitter,https://www.ratebeer.com/beer/windsor-eton--4-pines-corker/346233/,WINDSOR & ETON,90
Golden Ale/Blond Ale,,Firefly Blonde,https://www.ratebeer.com/beer/windsor-eton-firefly/436169/73218/,WINDSOR & ETON,
Bitter,55,Windsor Knot,https://www.ratebeer.com/beer/windsor-eton-windsor-knot/142775/,WINDSOR & ETON,96
Bitter,45,Guardsman,https://www.ratebeer.com/beer/windsor-eton-guardsman/124528/,WINDSOR & ETON,87
Golden Ale/Blond Ale,58,Eton Boatman,https://www.ratebeer.com/beer/windsor-eton-boatman/180329/,WINDSOR & ETON,92
India Pale Ale (IPA),43,Kohinoor IPA,https://www.ratebeer.com/beer/windsor-eton-kohinoor-bottle/172029/,WINDSOR & ETON,18
Golden Ale/Blond Ale,32,Angler's Reward,https://www.ratebeer.com/beer/wold-top-anglers-reward/146884/,WOLD TOP,44
Bitter,40,Norfolk Lavender Honey,https://www.ratebeer.com/beer/wolf-lavender-honey/19467/,WOLF,67
Stout,,Blackthorne Stout,https://www.ratebeer.com/beer/worsthorne-blackthorne-stout/237677/,WORSTHORNE,
Premium Bitter/ESB,49,Hobgoblin Original,https://www.ratebeer.com/beer/wychwood-hobgoblin-pasteurised/5107/,WYCHWOOD,78
Bitter,49,4,https://www.ratebeer.com/beer/xt-4-mellow-amber/158709/,XT,93
Golden Ale/Blond Ale,48,2,https://www.ratebeer.com/beer/xt-2-gold/160136/,XT,83
Golden Ale/Blond Ale,47,3,https://www.ratebeer.com/beer/xt-3-indian-pale/164766/,XT,83
Golden Ale/Blond Ale,58,1,https://www.ratebeer.com/beer/xt-1-blonde/175214/,XT,92
Amber Ale,68,13 Pacific Red Ale,https://www.ratebeer.com/beer/xt-13-pacific-red-ale/201819/,XT,91
Session IPA,47,15 English IPA,https://www.ratebeer.com/beer/xt-15-english-ipa/316015/,XT,29
Golden Ale/Blond Ale,,17,https://www.ratebeer.com/beer/xt-17-single-hop-series-jester/506868/,XT,
Porter,84,9,https://www.ratebeer.com/beer/xt-9-black-velvet/164765/,XT,81
Golden Ale/Blond Ale,42,Guzzler,https://www.ratebeer.com/beer/york-guzzler-cask/19405/,YORK,67
Spice/Herb/Vegetable,,Rhu Bar Beer,https://www.ratebeer.com/beer/yorkshire-heart-rhu-bar-beer/320120/,YORKSHIRE HEART,
Golden Ale/Blond Ale,40,Get Pithed Orange Fruit Beer,http://www.ratebeer.com/beer/yorkshire-heart-get-pithed/322209/,YORKSHIRE HEART,63
Stout,,Blackheart Stout,https://www.ratebeer.com/beer/yorkshire-heart-black-heart-stout/224411/4953/,YORKSHIRE HEART,
